activity,occupation,lmd_share,bench_share,diff_pp
afins,prof,0.28728,0.29131,-0.40254
afins,tech,0.09884,0.09541,0.34277
afins,cler,0.22721,0.22774,-0.05322
afins,sale,0.00175,0.00178,-0.00258
afins,skag,0.00000,0.00000,0.00000
afins,craf,0.00182,0.00185,-0.00241
afins,oper,0.00376,0.00381,-0.00516
afins,elmn,0.00381,0.00387,-0.00557
afins,doms,0.00000,0.00000,0.00000
afish,mang,0.38379,0.38361,0.01810
afish,prof,0.00000,0.00000,0.00000
afish,tech,0.05680,0.05675,0.00442
afish,cler,0.00000,0.00000,0.00000
afish,sale,0.00513,0.00514,-0.00110
afish,skag,0.47296,0.47310,-0.01356
afish,craf,0.01358,0.01359,-0.00081
afish,oper,0.00965,0.00965,-0.00001
afish,elmn,0.05809,0.05816,-0.00705
afish,doms,0.00000,0.00000,0.00000
afood,mang,0.18941,0.18454,0.48699
afood,prof,0.01204,0.01303,-0.09872
afood,tech,0.11032,0.11166,-0.13385
afood,cler,0.09814,0.09843,-0.02887
afood,sale,0.02376,0.02409,-0.03246
afood,skag,0.00325,0.00330,-0.00445
afood,craf,0.20313,0.20273,0.04021
afood,oper,0.15345,0.15353,-0.00759
afood,elmn,0.20649,0.20870,-0.22126
afood,doms,0.00000,0.00000,0.00000
afoot,mang,0.54315,0.54662,-0.34652
afoot,prof,0.00000,0.00000,0.00000
afoot,tech,0.02566,0.02569,-0.00301
afoot,cler,0.01920,0.01923,-0.00342
afoot,sale,0.00754,0.00755,-0.00075
afoot,skag,0.00000,0.00000,0.00000
afoot,craf,0.26607,0.26215,0.39201
afoot,oper,0.09455,0.09480,-0.02497
afoot,elmn,0.04383,0.04396,-0.01334
afoot,doms,0.00000,0.00000,0.00000
afore,mang,0.14917,0.14983,-0.06512
afore,prof,0.00000,0.00000,0.00000
afore,tech,0.01192,0.01201,-0.00920
afore,cler,0.08962,0.08968,-0.00634
afore,sale,0.03404,0.03422,-0.01784
afore,skag,0.05503,0.05538,-0.03506
afore,craf,0.00934,0.00936,-0.00178
afore,oper,0.14009,0.14024,-0.01492
afore,elmn,0.51078,0.50928,0.15026
afore,doms,0.00000,0.00000,0.00000
afurn,mang,0.66508,0.66539,-0.03123
afurn,prof,0.00000,0.00000,0.00000
afurn,tech,0.01164,0.01166,-0.00105
afurn,cler,0.05797,0.05799,-0.00278
afurn,sale,0.01173,0.01172,0.00035
afurn,skag,0.00110,0.00109,0.00027
afurn,craf,0.13998,0.14001,-0.00299
afurn,oper,0.04850,0.04834,0.01647
afurn,elmn,0.06401,0.06380,0.02096
afurn,doms,0.00000,0.00000,0.00000
aglss,mang,0.41149,0.41291,-0.14145
aglss,prof,0.17558,0.17561,-0.00359
aglss,tech,0.03726,0.03737,-0.01077
aglss,cler,0.05512,0.05531,-0.01916
aglss,sale,0.00000,0.00000,0.00000
aglss,skag,0.00000,0.00000,0.00000
aglss,craf,0.05091,0.05107,-0.01554
aglss,oper,0.17702,0.17748,-0.04603
aglss,elmn,0.09262,0.09025,0.23653
aglss,doms,0.00000,0.00000,0.00000
agold,mang,0.05742,0.23979,-18.23644
agold,prof,0.12150,0.14385,-2.23512
agold,tech,0.07396,0.18455,-11.05805
agold,cler,0.03872,0.07726,-3.85314
agold,sale,0.03577,0.00549,3.02782
agold,skag,0.00000,0.00000,0.00000
agold,craf,0.32174,0.14917,17.25743
agold,oper,0.23818,0.13546,10.27279
agold,elmn,0.11270,0.06445,4.82472
agold,doms,0.00000,0.00000,0.00000
aheal,mang,0.11122,0.10605,0.51715
aheal,prof,0.33464,0.32971,0.49351
aheal,tech,0.28244,0.28463,-0.21973
aheal,cler,0.09217,0.09492,-0.27517
aheal,sale,0.14663,0.15094,-0.43147
aheal,skag,0.00003,0.00004,-0.00011
aheal,craf,0.00261,0.00256,0.00511
aheal,oper,0.00571,0.00590,-0.01922
aheal,elmn,0.02455,0.02525,-0.07007
aheal,doms,0.00000,0.00000,0.00000
ainsp,mang,0.39217,0.47854,-8.63735
ainsp,prof,0.16872,0.10556,6.31630
ainsp,tech,0.30453,0.14323,16.13010
ainsp,cler,0.12280,0.27223,-14.94297
ainsp,sale,0.00893,0.00000,0.89268
ainsp,skag,0.00000,0.00000,0.00000
ainsp,craf,0.00092,0.00000,0.09163
ainsp,oper,0.00069,0.00000,0.06900
ainsp,elmn,0.00124,0.00043,0.08060
ainsp,doms,0.00000,0.00000,0.00000
aknit,mang,0.33723,0.33711,0.01174
aknit,prof,0.00096,0.00097,-0.00099
aknit,tech,0.03492,0.03552,-0.06009
aknit,cler,0.07578,0.07658,-0.08006
aknit,sale,0.01342,0.01366,-0.02357
aknit,skag,0.00000,0.00000,0.00000
aknit,craf,0.22025,0.21655,0.36933
aknit,oper,0.25989,0.26117,-0.12788
aknit,elmn,0.05755,0.05844,-0.08849
aknit,doms,0.00000,0.00000,0.00000
aleat,mang,0.00000,0.00000,0.00000
aleat,prof,0.00000,0.00000,0.00000
aleat,tech,0.09826,0.09833,-0.00703
aleat,cler,0.03754,0.03758,-0.00436
aleat,sale,0.07667,0.07660,0.00700
aleat,skag,0.00000,0.00000,0.00000
aleat,craf,0.16556,0.16563,-0.00701
aleat,oper,0.52614,0.52604,0.00997
aleat,elmn,0.09583,0.09582,0.00143
aleat,doms,0.00000,0.00000,0.00000
altrp,mang,0.53529,0.52524,1.00488
altrp,prof,0.02357,0.02437,-0.07940
altrp,tech,0.01597,0.01649,-0.05140
altrp,cler,0.06094,0.06287,-0.19277
altrp,sale,0.00936,0.00951,-0.01463
altrp,skag,0.00000,0.00000,0.00000
altrp,craf,0.03255,0.03322,-0.06694
altrp,oper,0.28885,0.29387,-0.50180
altrp,elmn,0.03346,0.03444,-0.09795
altrp,doms,0.00000,0.00000,0.00000
amach,mang,0.27744,0.27752,-0.00801
amach,prof,0.15565,0.15671,-0.10595
amach,tech,0.06875,0.06719,0.15615
amach,cler,0.08433,0.08079,0.35435
amach,sale,0.01344,0.01359,-0.01518
amach,skag,0.00000,0.00000,0.00000
amach,craf,0.27995,0.28319,-0.32436
amach,oper,0.09165,0.09209,-0.04367
amach,elmn,0.02878,0.02891,-0.01334
amach,doms,0.00000,0.00000,0.00000
amets,mang,0.26634,0.29243,-2.60924
amets,prof,0.04285,0.06970,-2.68558
amets,tech,0.03976,0.05545,-1.56877
amets,cler,0.05622,0.06235,-0.61348
amets,sale,0.01071,0.01789,-0.71759
amets,skag,0.00000,0.00000,0.00000
amets,craf,0.26821,0.22846,3.97510
amets,oper,0.27551,0.23299,4.25192
amets,elmn,0.04040,0.04073,-0.03235
amets,doms,0.00000,0.00000,0.00000
amopt,mang,0.36857,0.27243,9.61450
amopt,prof,0.01545,0.25944,-24.39911
amopt,tech,0.27996,0.20747,7.24853
amopt,cler,0.09917,0.07395,2.52206
amopt,sale,0.11091,0.01138,9.95315
amopt,skag,0.00000,0.00000,0.00000
amopt,craf,0.07860,0.05473,2.38770
amopt,oper,0.03373,0.10821,-7.44833
amopt,elmn,0.01361,0.01239,0.12151
amopt,doms,0.00000,0.00000,0.00000
amore,mang,0.05438,0.05896,-0.45838
amore,prof,0.03327,0.11981,-8.65388
