code,kind,description,source_sheet,flag
cofin,commodity,cofin,Product_List,
cinsp,commodity,cinsp,Product_List,
ccrpf,commodity,ccrpf,Product_List,
creal,commodity,creal,Product_List,
crrea,commodity,crrea,Product_List,
crent,commodity,crent,Product_List,
crsea,commodity,crsea,Product_List,
clacc,commodity,clacc,Product_List,
cobus,commodity,cobus,Product_List,
ctelc,commodity,ctelc,Product_List,
csupp,commodity,csupp,Product_List,
cmnfs,commodity,cmnfs,Product_List,
cpuba,commodity,cpuba,Product_List,
ceduc,commodity,ceduc,Product_List,
cheal,commodity,cheal,Product_List,
cmemb,commodity,cmemb,Product_List,
centa,commodity,centa,Product_List,
cpers,commodity,cpers,Product_List,
cdoms,commodity,cdoms,Product_List,
marg,margin,Margins,Other Accounts 10Occ 2019 SAM,
mang,factor,manager,Other Accounts 10Occ 2019 SAM,
prof,factor,professional,Other Accounts 10Occ 2019 SAM,
tech,factor,techical,Other Accounts 10Occ 2019 SAM,
cler,factor,clerical,Other Accounts 10Occ 2019 SAM,
sale,factor,sales,Other Accounts 10Occ 2019 SAM,
skag,factor,skilled agriculture,Other Accounts 10Occ 2019 SAM,
craf,factor,craft,Other Accounts 10Occ 2019 SAM,
oper,factor,operators,Other Accounts 10Occ 2019 SAM,
elmn,factor,elementary,Other Accounts 10Occ 2019 SAM,
doms,factor,domestic,Other Accounts 10Occ 2019 SAM,
land,factor,Land,Other Accounts 10Occ 2019 SAM,
immo,factor,"Buildings, Construction Works & Land Improvements (Immovables)",Other Accounts 10Occ 2019 SAM,
mach,factor,"Network, Computer & Other IT Equipment (NITC)",Other Accounts 10Occ 2019 SAM,description-suspect
nitc,factor,Transport Equipment,Other Accounts 10Occ 2019 SAM,description-suspect
trnp,factor,Machinery,Other Accounts 10Occ 2019 SAM,description-suspect
inta,factor,Intangible assets,Other Accounts 10Occ 2019 SAM,
ent,enterprise,Enterprises,Other Accounts 10Occ 2019 SAM,
hhd1,household,Households - Decile 1,Other Accounts 10Occ 2019 SAM,
hhd2,household,Households - Decile 2,Other Accounts 10Occ 2019 SAM,
hhd3,household,Households - Decile 3,Other Accounts 10Occ 2019 SAM,
hhd4,household,Households - Decile 4,Other Accounts 10Occ 2019 SAM,
hhd5,household,Households - Decile 5,Other Accounts 10Occ 2019 SAM,
hhd6,household,Households - Decile 6,Other Accounts 10Occ 2019 SAM,
hhd7,household,Households - Decile 7,Other Accounts 10Occ 2019 SAM,
hhd8,household,Households - Decile 8,Other Accounts 10Occ 2019 SAM,
hhd9,household,Households - Decile 9,Other Accounts 10Occ 2019 SAM,
hhd10,household,Households - Percentile 90-92,Other Accounts 10Occ 2019 SAM,
hhd11,household,Households - Percentile 92-94,Other Accounts 10Occ 2019 SAM,
hhd12,household,Households - Percentile 94-96,Other Accounts 10Occ 2019 SAM,
hhd13,household,Households - Percentile 96-98,Other Accounts 10Occ 2019 SAM,
hhd14,household,Households - Percentile 98-100,Other Accounts 10Occ 2019 SAM,
gvt,government,General government,Other Accounts 10Occ 2019 SAM,
atx,tax,NIT on production,Other Accounts 10Occ 2019 SAM,
stx,tax,Sales tax,Other Accounts 10Occ 2019 SAM,
mtx,tax,Import duties,Other Accounts 10Occ 2019 SAM,
dtx,tax,Income tax,Other Accounts 10Occ 2019 SAM,
si,savings_investment,Accumulation,Other Accounts 10Occ 2019 SAM,
dstk,savings_investment,Change in stocks+resid,Other Accounts 10Occ 2019 SAM,
row,rest_of_world,Rest of the world,Other Accounts 10Occ 2019 SAM,
